Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2025-12-10,451.45001220703125,456.8800048828125,443.6099853515625,446.07000732421875,63257500
2025-12-11,446.8900146484375,449.2699890136719,440.3299865722656,448.95001220703125,55979500
2025-12-12,458.9599914550781,463.010009765625,441.6700134277344,448.0899963378906,95656700
2025-12-15,475.30999755859375,481.7699890136719,467.6600036621094,469.44000244140625,114542200
2025-12-16,489.8800048828125,491.5,465.8299865722656,472.2099914550781,107608100
2025-12-17,467.260009765625,495.2799987792969,466.20001220703125,488.2200012207031,106490400
2025-12-18,483.3699951171875,490.8599853515625,473.1199951171875,478.1600036621094,95168400
2025-12-19,481.20001220703125,490.489990234375,474.7200012207031,488.1199951171875,103305400
2025-12-22,488.7300109863281,498.8299865722656,485.3299865722656,489.8800048828125,86916100
2025-12-23,485.55999755859375,491.9700012207031,482.8399963378906,489.3999938964844,58223600
2025-12-24,485.3999938964844,490.8999938964844,476.79998779296875,488.4800109863281,41285400
2025-12-26,475.19000244140625,489.0899963378906,473.82000732421875,485.2300109863281,58780700
2025-12-29,459.6400146484375,469.3999938964844,459.0,469.0,66263000
2025-12-30,454.42999267578125,463.1199951171875,453.8299865722656,461.0899963378906,59238500
2025-12-31,449.7200012207031,456.54998779296875,449.29998779296875,456.1000061035156,49078000
2026-01-02,438.07000732421875,458.3399963378906,435.29998779296875,457.79998779296875,85535400
2026-01-05,451.6700134277344,457.54998779296875,444.57000732421875,447.989990234375,67940800
2026-01-06,432.9599914550781,448.25,428.7799987792969,446.3800048828125,89093800
2026-01-07,431.4100036621094,438.3699951171875,431.2900085449219,435.8999938964844,59828800
2026-01-08,435.79998779296875,436.8900146484375,424.3699951171875,427.8900146484375,57041100
2026-01-09,445.010009765625,449.04998779296875,430.3900146484375,435.95001220703125,67185700
